Row Labels,Average of SVENY01,Average of SVENY02,Average of SVENY05,Average of SVENY10
<1/06/1987,,,,
(blank),,,,
Apr,0.267577273,0.568150003,1.387231827,2.018054545
May,0.288450001,0.642630002,1.576534992,2.306245005
Jun,0.335072725,0.708627273,1.720422729,2.471886375
Jul,0.328122726,0.680054543,1.664259082,2.407690926
Aug,0.406519047,0.723323811,1.58351905,2.241776183
Sep,0.421585715,0.731699995,1.544780953,2.258433319
Oct,0.36572857,0.654914288,1.435071434,2.147319044
Nov,0.58863158,0.906073683,1.718652637,2.363810539
Dec,0.748145453,1.022981817,1.745813635,2.336650003
2016,0.666580798,0.8492776,1.376792796,1.904954401
Jan,0.705857892,0.939689467,1.557315789,2.171821042
Feb,0.606415004,0.754299998,1.26742999,1.867434996
Mar,0.679154542,0.87517727,1.422263639,1.975654559
Apr,0.578628565,0.765647619,1.291714277,1.867423818
May,0.626842854,0.814214284,1.333671422,1.874328585
Jun,0.600245451,0.735181817,1.196640909,1.69759092
Jul,0.568859991,0.686080003,1.098109984,1.541014999
Aug,0.612286956,0.748404353,1.16524346,1.602486968
Sep,0.660919048,0.793066669,1.224809528,1.682966664
Oct,0.693444997,0.868669996,1.326719999,1.813844991
Nov,0.776765001,1.010360005,1.662425011,2.222989988
Dec,0.900028572,1.219257145,2.011661904,2.59431428
2017,1.221372798,1.404643198,1.9319864,2.380157204
Jan,0.871295002,1.209940004,1.964509994,2.508019996
Feb,0.8812,1.208515801,1.950105272,2.497078971
Mar,1.056695651,1.326904338,2.052939125,2.552926084
Apr,1.069410519,1.255421055,1.855089483,2.358994747
May,1.152222731,1.307145439,1.863904558,2.369813648
Jun,1.224349997,1.348200007,1.796549998,2.2308
Jul,1.241839993,1.38089,1.887384993,2.366479981
Aug,1.228313037,1.338204353,1.792882603,2.256791281
Sep,1.272719991,1.386084998,1.814310008,2.239240027
Oct,1.394509531,1.549285707,1.988990477,2.385766665
Nov,1.547842866,1.693271416,2.054147618,2.380457163
Dec,1.696764994,1.849944997,2.174199986,2.428570008
2018,2.342216856,2.523376307,2.749927308,2.915596383
Jan,1.83278572,2.023414288,2.371633337,2.597519057
Feb,1.98249997,2.198389467,2.613005262,2.890484208
Mar,2.080433312,2.277061905,2.633109513,2.856890485
Apr,2.169609524,2.387419065,2.703823816,2.863914285
May,2.281468153,2.515627254,2.819990873,2.983945435
Jun,2.335671413,2.528804768,2.778976191,2.920547622
Jul,2.39549999,2.599809522,2.774890491,2.89212857
Aug,2.443417383,2.626830412,2.766608705,2.886969566
Sep,2.562999976,2.754657921,2.888952644,2.996294724
Oct,2.665981824,2.850309112,2.997604543,3.14985
Nov,2.714164996,2.847655022,2.947824979,3.118684995
Dec,2.654089463,2.665542088,2.689894752,2.824536826
2019,2.067019196,1.975732398,1.968862797,2.150198003
Jan,2.565147604,2.529261907,2.544638077,2.700204781
Feb,2.520421053,2.488584192,2.508221062,2.669136838
Mar,2.472719034,2.40022858,2.392542862,2.572566691
Apr,2.400276161,2.330899988,2.343342849,2.538619041
May,2.326781837,2.201145443,2.197949995,2.409977284
Jun,2.003764981,1.829799992,1.84418,2.090699995
Jul,1.978468185,1.846413639,1.838395438,2.063768176
Aug,1.774559097,1.585190908,1.499454542,1.635968187
Sep,1.82768001,1.677950007,1.583570004,1.714435005
Oct,1.656240913,1.577127272,1.548118174,1.714895444
Nov,1.645584207,1.630710526,1.659510525,1.832894733
Dec,1.646557132,1.639333339,1.701742865,1.891790481
2020,0.407388448,0.40316813,0.565933467,0.912720319
Jan,1.577300015,1.530833347,1.56839524,1.7792238
Feb,1.448815791,1.345736849,1.333136838,1.519863154
Mar,0.510940909,0.529890914,0.68883637,0.945850004
Apr,0.214580952,0.251819049,0.427947618,0.724309527
May,0.174825001,0.18959,0.375850001,0.710880002
Jun,0.20141818,0.198886364,0.379036363,0.753850002
Jul,0.163927275,0.154645456,0.306127273,0.634213643
Aug,0.1495,0.143933334,0.298757143,0.654619041
Sep,0.143357144,0.136519046,0.29571905,0.680495234
Oct,0.141290477,0.1485,0.360357146,0.792619052
Nov,0.138342105,0.163373684,0.416726316,0.878310526
Dec,0.117140909,0.129604545,0.412827273,0.941236364
2021,0.12477251,0.277313944,0.876059761,1.513862151
Jan,0.109284211,0.125094737,0.470878947,1.095442105
Feb,0.086515789,0.119605263,0.5642,1.298678947
Mar,0.081952174,0.15976087,0.839278261,1.712204348
Apr,0.07685,0.171854545,0.876659091,1.728822727
May,0.067185,0.15751,0.836965,1.71832
Jun,0.089177273,0.208054545,0.852304545,1.607781818
Jul,0.092647619,0.22582381,0.777514286,1.379809524
Aug,0.087072727,0.233118182,0.785581818,1.336595455
Sep,0.091157143,0.255419048,0.876552381,1.424109524
Oct,0.14536,0.40404,1.11826,1.64112
Nov,0.206465,0.536615,1.219455,1.621885
Dec,0.359295455,0.714818182,1.244186364,1.535963636
2022,2.799171888,3.008352209,3.007218072,3.0041
Jan,0.602125,0.99645,1.551355,1.850505
